City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
293,Namatanai,-3.6667,152.4333,80.02,79,100,9.46,PG,overcast clouds
294,Upernavik,72.7868,-56.1549,-8.84,100,96,6.69,GL,overcast clouds
295,Phonhong,18.5007,102.4166,86.86,49,45,0.85,LA,scattered clouds
296,Provideniya,64.3833,-173.3,0.36,71,0,18.01,RU,clear sky
297,Miranda,3.2499,-76.2281,69.93,88,29,5.37,CO,scattered clouds
298,Naantali,60.4674,22.0243,32.11,93,75,3.44,FI,fog
299,Bandarbeyla,9.4942,50.8122,77.83,75,13,5.06,SO,few clouds
300,Naze,28.3667,129.4833,67.12,55,71,7.23,JP,broken clouds
301,Lasa,46.6166,10.7002,45.48,95,78,3.87,IT,broken clouds
302,Tezu,27.9167,96.1667,80.4,58,83,2.8,IN,broken clouds
303,Guerrero Negro,27.9769,-114.0611,62.73,79,0,10.96,MX,clear sky
304,Rio De Janeiro,-22.9028,-43.2075,77.0,71,75,4.61,BR,broken clouds
305,Puerto Colombia,10.9878,-74.9547,80.69,87,53,24.4,CO,broken clouds
306,Wilmington,34.2257,-77.9447,70.99,89,20,4.61,US,few clouds
307,Lavumisa,-27.31,31.892,71.31,73,55,10.04,SZ,broken clouds
308,Pilibanga,29.4916,74.079,90.54,7,0,4.5,IN,clear sky
309,Buraydah,26.326,43.975,72.05,12,7,7.96,SA,clear sky
310,Carutapera,-1.195,-46.02,75.61,94,99,4.41,BR,overcast clouds
311,Beloha,-25.1667,45.05,70.54,93,6,3.89,MG,clear sky
312,Kununurra,-15.7667,128.7333,93.18,52,11,5.75,AU,few clouds
313,Jiayuguan,39.8167,98.3,65.66,7,0,4.09,CN,clear sky
314,Isiro,2.7739,27.616,63.79,99,100,3.33,CD,overcast clouds
315,Jucuapa,13.5167,-88.3833,74.8,79,88,1.81,SV,overcast clouds
316,Alamosa,37.4695,-105.87,37.38,18,0,18.41,US,clear sky
317,Bonfim,3.0833,-59.95,77.29,76,51,4.7,BR,broken clouds
318,Takoradi,4.8845,-1.7554,80.29,86,95,6.29,GH,overcast clouds
319,Te Anau,-45.4167,167.7167,53.85,53,17,2.01,NZ,few clouds
320,Yerofey Pavlovich,53.9667,121.9667,30.61,33,51,7.31,RU,broken clouds
321,Noumea,-22.2763,166.4572,81.0,99,100,10.89,NC,moderate rain
322,Strezhevoy,60.7333,77.5889,26.82,79,91,17.11,RU,overcast clouds
323,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.59,93,100,4.47,RU,light intensity shower rain
324,Suleja,9.1758,7.1808,81.59,56,100,6.06,NG,overcast clouds
325,Coihaique,-45.5752,-72.0662,40.95,93,100,5.75,CL,light rain
326,Zabid,14.1951,43.3152,78.19,60,0,3.87,YE,clear sky
327,Flinders,-34.5833,150.8552,67.37,89,100,5.99,AU,light rain
328,Yerbogachen,61.2767,108.0108,33.46,100,100,7.05,RU,overcast clouds
329,Vardo,70.3705,31.1107,32.76,81,100,21.07,NO,overcast clouds
330,Hambantota,6.1241,81.1185,79.14,94,20,4.61,LK,few clouds
331,Lompoc,34.6391,-120.4579,78.94,41,0,0.0,US,clear sky
332,Port Hardy,50.6996,-127.4199,42.98,81,100,21.85,CA,overcast clouds
333,Gillette,44.2911,-105.5022,35.02,60,75,18.99,US,broken clouds
334,Ust-Omchug,61.15,149.6333,19.02,76,100,6.26,RU,overcast clouds
335,Pahalgam,34.0333,75.3333,50.59,45,0,4.56,IN,clear sky
336,Boa Vista,2.8197,-60.6733,84.18,58,0,6.91,BR,clear sky
337,Chokurdakh,70.6333,147.9167,0.45,81,2,4.63,RU,clear sky
338,Lodwar,3.1191,35.5973,86.41,36,67,9.31,KE,broken clouds
339,Varanasi,25.3333,83.0,80.69,36,89,2.3,IN,haze
340,Lgov,51.6307,35.2775,41.79,89,99,7.67,RU,overcast clouds
341,Aurillac,44.9167,2.45,43.68,94,100,10.36,FR,light intensity drizzle
342,Segou,13.4317,-6.2157,86.76,12,80,6.82,ML,broken clouds
343,Muroto,33.2833,134.15,62.47,59,98,8.03,JP,overcast clouds
344,Menongue,-14.6585,17.691,60.89,88,14,2.42,AO,few clouds
